"","Text","Cluster"
"370","THE_EVIL_GUEST_noWikiID","Cluster 4"
"371","COCK_AND_ANCHOR_noWikiID","Cluster 3"
"372","DISCIPLINE_noWikiID","Cluster 2"
"373","TYPHOON_Q1329329","Cluster 4"
"374","THE_NIGGER_OF_THE_NARCISSUS_Q478537","Cluster 4"
"375","HEART_OF_DARKNESS_Q129778","Cluster 3"
"376","BLACK_BEAUTY_Q880092","Cluster 4"
"377","THE_NETHER_WORLD_Q7753436","Cluster 2"
"378","THE_ROMANCE_OF_A_SHOP_Q17019147","Cluster 4"
"379","THE_HISTORY_OF_MISS_BETSY_THOUGHTLESS_noWikiID","Cluster 2"
"380","A_WORLD_OF_GIRLS_noWikiID","Cluster 3"
"381","NOSTROMO_Q430248","Cluster 3"
"382","GULLIVER'S_TRAVELS_Q181488","Cluster 3"
"383","A_ROOM_WITH_A_VIEW_Q120288","Cluster 4"
"384","THE_PRIME_MINISTER_noWikiID","Cluster 2"
"385","THE_MUDFOG_PAPERS_Q7752595","Cluster 4"
"386","DREAMERS_OF_THE_GHETTO_noWikiID","Cluster 3"
"387","THE_PRIVATE_MEMOIRS_AND_CONFESSIONS_OF_A_JUSTIFIED_SINNER_Q2992437","Cluster 4"
"388","THE_LIFTED_VEIL_(NOVELLA)_Q6763446","Cluster 4"
"389","PHANTASTES_Q1616808","Cluster 4"
"390","THE_FEMALE_QUIXOTE_Q1404172","Cluster 2"
"391","THE_KING'S_OWN_noWikiID","Cluster 2"
"392","MY_NEW_CURATE_noWikiID","Cluster 3"
"393","FANNY_HILL_Q1395765","Cluster 4"
"394","THE_GRIM_SMILE_OF_THE_FIVE_TOWNS_Q24255934","Cluster 4"
"395","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852","Cluster 3"
"396","KIPPS_Q1249082","Cluster 3"
"397","THE_LIGHT_PRINCESS_noWikiID","Cluster 4"
"398","THE_WATER-BABIES_A_FAIRY_TALE_FOR_A_LAND_BABY_Q14914646","Cluster 3"
"399","TREASURE_ISLAND_Q185118","Cluster 4"
"400","THE_THREE_MIDSHIPMEN_noWikiID","Cluster 4"
"401","SANDITON_Q3180417","Cluster 4"
"402","THE_YOUNG_BUGLERS_noWikiID","Cluster 3"
"403","HELBECK_OF_BANNISDALE_Q19572074","Cluster 4"
"404","GHETTO_TRAGEDIES_noWikiID","Cluster 3"
"405","MORAL_TALES_noWikiID","Cluster 3"
"406","BELINDA_noWikiID","Cluster 2"
"407","SON_OF_MARS_noWikiID","Cluster 4"
"408","LEVER'S_LORD_KILGOBBIN_noWikiID","Cluster 3"
"409","AULD_LICHT_IDYLLS_noWikiID","Cluster 3"
"410","THE_SHADOW_OF_A_CRIME_1885_noWikiID","Cluster 2"
"411","SIR_GIBBIE_noWikiID","Cluster 3"
"412","EMMA_(NOVEL)_Q223880","Cluster 3"
"413","THE_MAYOR_OF_CASTERBRIDGE_Q2343169","Cluster 3"
"414","THE_WHIRLPOOL_noWikiID","Cluster 3"
