"","canonisation_score","circl_sum","reviews_sum","Text","id","circl_binary","indegree","pagerank","class","reviews_binary"
"227","0.0221068485323305","3","0","DIE_FRAU_PROFESSORIN_noWikiID","162","1","2","0.5437657155751172","No Review, Catalogue","0"
"266","0.0205467828522686","0","0","DIE_NACHBARN_noWikiID","163","0","5","0.929434892926067","No Review & No Catalogue","0"
"78","0.0205467828522686","0","0","DAS_HEIMWEH_Q1168923","164","0","3","0.9585276929829295","No Review & No Catalogue","0"
"421","0.274620702296579","0","0","LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL_Q1810880","165","0","6","1.435804947791858","No Review & No Catalogue","0"
"379","0.0691979459011065","2","0","HERRMANN_UND_ULRIKE_noWikiID","166","1","6","3.7537997682884074","No Review, Catalogue","0"
"475","0.0205467828522686","1","2","POLIZEIGESCHICHTEN_noWikiID","167","1","0","0.15","Review & Catalogue","1"
"461","0.0205467828522686","1","0","NEUE_GESCHICHTEN_AUS_DEM_GHETTO_noWikiID","168","1","4","0.44078701522495006","No Review, Catalogue","0"
"496","0.0237824899093644","1","1","RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID","169","1","8","3.7086085781076954","Review & Catalogue","1"
"150","0.305392408053958","1","0","DER_LANDVOGT_VON_GREIFENSEE_Q1195171","17","1","1","0.1925","No Review, Catalogue","0"
"273","0.0975111340573339","3","0","DIE_RITTER_VOM_GEISTE_noWikiID","170","1","7","3.6581474103234317","No Review, Catalogue","0"
"399","0.0205467828522686","1","1","ISEGRIMM_noWikiID","171","1","9","2.8078399743406397","Review & Catalogue","1"
"509","0.0601640846066759","0","0","SELTSAMES_BEGEGNEN_UND_WIEDERSEHEN_Q2268722","172","0","0","0.15","No Review & No Catalogue","0"
"436","0.274620702296579","1","1","LOTTI,_DIE_UHRMACHERIN_noWikiID","173","1","3","1.9838967247610677","Review & Catalogue","1"
"409","0.0560723413501725","0","0","KINDER_DER_WELT_noWikiID","174","0","5","2.5032192635656085","No Review & No Catalogue","0"
"255","0.0205467828522686","1","0","DIE_LETZTE_RECKENBURGERIN_noWikiID","175","1","6","1.864510984466959","No Review, Catalogue","0"
"172","0.119112826840361","1","1","DER_SCHUEDDERUMP_Q1196819","176","1","6","2.622780427663129","Review & Catalogue","1"
"450","0.0794735706665683","0","0","MEISTER_MARTIN_DER_KUEFNER_UND_SEINE_GESELLEN_Q1918300","177","0","1","0.6478839243458623","No Review & No Catalogue","0"
"193","0.0601640846066759","1","0","DER_ZAUBERRING_noWikiID","178","1","4","0.856742553628487","No Review, Catalogue","0"
"27","0.154236863598718","1","0","ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540","179","1","14","4.1158842041528","No Review, Catalogue","0"
"410","0.321481356814517","2","0","KLEIDER_MACHEN_LEUTE_Q1746163","18","1","3","0.7923653308910777","No Review, Catalogue","0"
"126","0.0560723413501725","2","0","DER_FAUST_DER_MORGENLAENDER_noWikiID","180","1","2","0.2826650111291653","No Review, Catalogue","0"
"322","0.0205467828522686","3","2","ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID","181","1","1","0.23008841981993017","Review & Catalogue","1"
"561","0.645431155250413","3","3","WILHELM_MEISTERS_WANDERJAHRE_Q478344","182","1","5","2.5644520427684023","Review & Catalogue","1"
"538","0.0645339993923284","0","0","UNTERM_RAD_Q1325403","183","0","2","0.3952257601511595","No Review & No Catalogue","0"
"390","0.0601640846066759","1","0","IM_NACHBARHAUSE_LINKS_noWikiID","184","1","1","0.1925","No Review, Catalogue","0"
"299","0.0691979459011065","1","0","DRAUSSEN_IM_HEIDEDORF_Q84314019","185","1","3","0.8132839269782532","No Review, Catalogue","0"
"237","0.0741722353260478","0","0","DIE_GUENDERODE_noWikiID","186","0","3","0.40110861941294984","No Review & No Catalogue","0"
"455","0.305392408053958","0","0","MOZART_AUF_DER_REISE_NACH_PRAG_Q1951309","187","0","1","0.8238653216002777","No Review & No Catalogue","0"
"116","0.321481356814517","0","0","DER_ARME_SPIELMANN_Q1198306","188","0","5","0.9766058994191922","No Review & No Catalogue","0"
"296","0.0741722353260478","1","0","DIES_BUCH_GEHOERT_DEM_KOENIG_noWikiID","189","1","2","0.3181891088336691","No Review, Catalogue","0"
"29","0.0205467828522686","1","0","ASPASIA_noWikiID","19","1","3","0.6885907566386748","No Review, Catalogue","0"
"401","0.0691979459011065","0","0","JAKOB_VON_GUNTEN_Q1679462","190","0","0","0.15","No Review & No Catalogue","0"
"61","0.0205467828522686","0","0","CHRISTA_RUHLAND_noWikiID","191","0","4","0.7836888913615743","No Review & No Catalogue","0"
"316","0.0645339993923284","1","0","EINE_AUSSCHWEIFUNG_noWikiID","192","1","2","0.32982208236923516","No Review, Catalogue","0"
"159","0.0255818179471078","1","1","DER_RANGIERBAHNHOF_noWikiID","193","1","4","0.8461364988536031","Review & Catalogue","1"
"95","0.0237824899093644","1","1","DAS_RECHT_DER_MUTTER_noWikiID","194","1","7","1.2459348888236204","Review & Catalogue","1"
"200","0.0560723413501725","0","0","DEUTSCHER_ADEL_(WILHELM_RAABE)_Q1204575","195","0","2","0.4021027408652891","No Review & No Catalogue","0"
"30","0.0221068485323305","0","0","AUCH_EINER_Q758582","196","0","6","2.056494685952846","No Review & No Catalogue","0"
"549","0.2221662156401","1","1","VOR_DEM_STURM_(ROMAN)_Q1273542","197","1","9","3.75450601529816","Review & Catalogue","1"
"566","0.33800545810469","0","0","ZUM_WILDEN_MANN_Q229600","198","0","3","1.104328260651683","No Review & No Catalogue","0"
"301","0.0645339993923284","2","0","DSCHINNISTAN_Q1262121","199","1","6","2.7776706305059444","No Review, Catalogue","0"
"136","0.988875593155002","2","1","DER_GRUENE_HEINRICH_Q1198871","2","1","13","3.3146758454004113","Review & Catalogue","1"
"105","0.444348419807107","0","0","DAS_VERLORENE_LACHEN_Q1171678","20","0","2","0.24704166666666666","No Review & No Catalogue","0"
"406","0.0205467828522686","0","0","JULCHEN_GRUENTHAL_noWikiID","200","0","8","5.099408256392108","No Review & No Catalogue","0"
"442","0.0394945910733656","1","0","MARIA_noWikiID","201","1","7","3.281940221145092","No Review, Catalogue","0"
"162","0.0255818179471078","0","0","DER_REDLICHE_MANN_AM_HOFE_noWikiID","202","0","6","3.6775312727741096","No Review & No Catalogue","0"
"144","0.0221068485323305","1","1","DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER_noWikiID","203","1","3","3.4647400184897124","Review & Catalogue","1"
"244","0.0799133785582656","0","0","DIE_INSEL_FELSENBURG_Q1664415","204","0","3","3.196056969475153","No Review & No Catalogue","0"
"259","0.0221068485323305","0","0","DIE_LIEBENSWUERDIGE_ADALIE_noWikiID","205","0","3","3.0791930072093763","No Review & No Catalogue","0"
"482","0.0794735706665683","0","0","QUITT_(FONTANE)_Q1589389","206","0","3","1.4386771080783811","No Review & No Catalogue","0"
"397","0.305392408053958","1","1","IRRUNGEN_WIRRUNGEN_Q669599","207","1","6","2.309843438045098","Review & Catalogue","1"
"287","0.0205467828522686","1","1","DIE_WAFFEN_NIEDER_Q212687","208","1","2","0.6342810031086061","Review & Catalogue","1"
"124","0.0601640846066759","0","0","DER_EINSAME_noWikiID","209","0","1","0.3412689341642662","No Review & No Catalogue","0"
"180","0.0911257006455229","1","0","DER_TOD_GEORGS_noWikiID","21","1","0","0.15","No Review, Catalogue","0"
"298","0.0560723413501725","0","0","DORFGAENGE_noWikiID","210","0","3","0.5868406844871348","No Review & No Catalogue","0"
"551","0.0645339993923284","0","0","WALDHEIMAT_Q41547677","211","0","9","1.7143635877105126","No Review & No Catalogue","0"
