;wikiname;0
617;A_HOUSE_TO_LET;1
618;YEAST;1
619;SYBIL;2
620;PETER_THE_WHALER;2
621;CONINGSBY;2
622;THE_WINGS_OF_A_DOVE;1
623;EREWHON_REVISITED;1
624;THE_MUMMER'S_WIFE;1
625;CARNIVAL;1
626;THE_HISTORY_AND_REMARKABLE_LIFE_OF_THE_TRULY_HONOURABLE_COL;1
627;THE_KING_OF_THE_PIRATES;1
628;THE_CONSOLIDATOR;1
629;JONATHAN_WILD;1
630;THE_FAIR_JILT;2
631;THE_BICKERSTAFF_PAPERS;1
632;THE_MERCENARY_LOVER;1
633;FORTUNATE_FOUNDLINGS;1
634;THE_LIFE_OF_HARRIOT_STUART;1
635;THE_MANXMAN;1
636;THE_SHADOW_OF_A_CRIME_1885;1
637;THE_WHITE_PEACOCK;2
638;THE_ROSARY;1
639;THE_FIDDLER_OF_THE_REELS;1
640;MADAM_HOW_AND_LADY_WHY;1
641;A_DARK_NIGHT'S_WORK;1
642;THE_CHIMES;1
643;BORN_IN_EXILE;1
644;THE_WHIRLPOOL;1
645;DREAMERS_OF_THE_GHETTO;1
646;GHETTO_TRAGEDIES;1
647;THE_GORILLA_HUNTERS;1
648;THE_THREE_MIDSHIPMEN;1
649;MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC;1
650;THE_CAXTONS;1
651;THE_SETTLERS_IN_CANADA;1
652;THE_ASPERN_PAPERS;1
653;THE_AWKWARD_AGE;1
654;TYPHOON;1
655;TALES_OF_UNREST;1
656;AN_OUTCAST_OF_THE_ISLANDS;1
657;ESTHER;1
